Moisture,ADC,Temperature,Humidity
9.12,2907,30.8,58
11.63,2851,30.8,58
-253.72,1728,30.9,58
11.92,2841,30.9,58
7.87,2927,30.4,58
11.18,2864,30.4,58
7.73,2929,30.7,58
10.04,2890,30.7,58
7.45,2933,30.4,58
12.1,2834,30.4,58
5.37,2960,30.7,58
11.69,2849,30.7,58
11.47,2856,31.7,57
11.29,2861,31.7,57
8.58,2916,30.9,58
11.4,2858,30.9,58
7.87,2927,31.7,57
-19.99,2415,31.7,57
10.56,2879,31.8,57
11.72,2848,31.8,57
12.59,2803,31.5,57
11.84,2844,31.5,57
7.66,2930,31.7,57
10.04,2890,31.7,57
11.66,2720,31.2,57
11.72,2848,31.2,57
7.8,2928,31.2,57
11.14,2865,31.2,57
4.78,2967,31.1,57
0.48,2559,31.1,57
7.09,2938,31.9,57
11.78,2846,31.9,57
8,2925,31.6,57
11.66,2850,31.6,57
7.52,2932,31.3,57
11.63,2851,31.3,57
7.59,2931,31.2,57
12,2838,31.2,57
8.52,2917,31.1,57
12.16,2831,31.1,57
10.14,2888,31.9,57
11.66,2850,31.9,57
9.01,2909,31.4,57
12.09,2736,31.4,57
8.2,2922,31.2,57
12.12,2833,31.2,57
7.8,2928,31,57
11.81,2845,31,57
8.95,2910,31.5,57
11.97,2839,31.5,57
6.65,2944,31.2,57
9.3,2904,31.2,57
7.31,2935,31,57
11.72,2848,31,57
7.73,2929,31.6,57
11.4,2858,31.6,57
7.87,2927,31.7,57
