Moisture,ADC,Temperature,Humidity
10.47,2931,29.3,53
11.2,2928,29.2,53
10.96,2929,29.2,53
11.2,2928,29.2,53
10.71,2930,29.8,53
11.2,2928,29.7,53
11.92,2925,29.7,53
12.4,2923,29.4,53
11.44,2927,29.5,53
11.44,2927,29.4,53
11.2,2928,29.5,53
11.2,2928,29.6,53
11.44,2927,29.3,53
10.47,2931,29.5,53
11.2,2928,29.5,53
7.94,2941,29.4,53
9.22,2936,29,53
9.97,2933,29.6,53
12.4,2923,29.1,53
7.16,2944,29.6,53
23.21,2871,29.5,53
11.2,2928,29.1,53
11.44,2927,29.5,53
11.68,2926,29.5,53
11.2,2928,29.5,53
19.42,2891,29.9,53
12.64,2922,29.9,53
7.42,2943,29,53
11.2,2928,29,53
11.2,2928,29.6,53
11.92,2925,29.1,53
11.2,2928,29.6,53
11.2,2928,29.1,53
12.4,2923,29.9,53
11.44,2927,29.9,53
11.44,2927,29.3,53
11.44,2927,29.8,53
15.62,2909,29.4,53
19.01,2893,29.2,53
19.82,2889,29.8,53
11.2,2928,29.4,53
7.16,2944,29.8,53
11.2,2928,29.1,53
11.2,2928,29.6,53
11.2,2928,29.1,53
7.94,2941,29.8,53
16.06,2907,29.4,53
11.2,2928,29.5,53
14.04,2916,29.1,53
9.97,2933,29.8,53
11.68,2926,29.4,53
9.47,2935,29,53
11.44,2927,29.3,53
13.81,2917,29.2,53
9.72,2934,29.8,53
13.34,2919,29.4,53
12.4,2923,29.9,53
12.4,2923,29.4,53
11.44,2927,29.2,53
11.92,2925,29.2,53
10.71,2930,29,53
11.2,2928,29.3,53
11.2,2928,29.8,53
13.81,2917,29.3,53
15.39,2910,29.2,53
11.2,2928,29.2,53
11.68,2926,29.8,53
11.2,2928,29.3,53
8.46,2939,29.2,53
11.2,2928,29.8,53
11.68,2926,29.4,53
23.92,2867,29,53
11.2,2928,29.9,53
8.96,2937,29.6,53
12.4,2923,29,53
11.2,2928,29.5,53
11.68,2926,29.9,53
11.2,2928,29.3,53
10.47,2931,29,53
10.47,2931,29.6,53
11.44,2927,29.7,53
15.39,2910,29.4,53
18.4,2896,29,53
11.44,2927,29.6,53
11.44,2927,29.7,53
4.22,2955,29.4,53
16.28,2906,29.5,53
11.2,2928,29.5,53
11.44,2927,29.7,53
11.44,2927,29.9,53
16.49,2905,29.3,53
11.44,2927,29.8,53
11.68,2926,29.3,53
13.58,2918,29.2,53
18.4,2896,29.8,53
8.96,2937,29.4,53
9.97,2933,29.5,53
9.47,2935,29.7,53
11.2,2928,29.9,53
11.2,2928,29.3,53
13.58,2918,29.4,53
10.47,2931,29.1,53
0.85,2967,29.8,53
16.06,2907,29.4,53
-14.97,3017,29.6,53
9.72,2934,29.7,53
11.44,2927,29.8,53
13.34,2919,29.9,53
12.64,2922,29.3,53
-12.92,3011,29.2,53
18.4,2896,29.8,53
11.2,2928,29.4,53
9.47,2935,29.5,53
11.2,2928,29.7,53
