Moisture,ADC,Temperature,Humidity,crop,original_moisture,target_source
6.57,2945,31.5,59,Mustard,6.57,custom_meter
9.12,2907,31.5,59,Mustard,9.12,custom_meter
6.87,2941,31.6,59,Mustard,6.87,custom_meter
12.36,2821,31.6,59,Mustard,12.36,custom_meter
3.61,2980,31.1,59,Mustard,3.61,custom_meter
10.7,2876,31.1,59,Mustard,10.7,custom_meter
7.02,2939,31.7,59,Mustard,7.02,custom_meter
11.11,2866,31.7,59,Mustard,11.11,custom_meter
11.81,2845,31.0,59,Mustard,11.81,custom_meter
9.99,2891,31.4,59,Mustard,9.99,custom_meter
6.34,2948,31.2,59,Mustard,6.34,custom_meter
7.02,2939,31.4,59,Mustard,7.02,custom_meter
12.12,2833,31.4,59,Mustard,12.12,custom_meter
6.65,2944,31.7,59,Mustard,6.65,custom_meter
5.21,2962,31.1,59,Mustard,5.21,custom_meter
10.47,2881,31.1,59,Mustard,10.47,custom_meter
10.19,2887,31.7,59,Mustard,10.19,custom_meter
6.72,2943,31.2,59,Mustard,6.72,custom_meter
10.04,2890,31.2,59,Mustard,10.04,custom_meter
6.72,2943,31.3,59,Mustard,6.72,custom_meter
10.47,2881,31.3,59,Mustard,10.47,custom_meter
6.18,2950,31.3,59,Mustard,6.18,custom_meter
11.81,2845,31.3,59,Mustard,11.81,custom_meter
7.73,2929,31.3,59,Mustard,7.73,custom_meter
4.95,2965,31.4,59,Mustard,4.95,custom_meter
7.31,2935,31.8,59,Mustard,7.31,custom_meter
10.91,2871,31.4,59,Mustard,10.91,custom_meter
7.31,2935,31.6,59,Mustard,7.31,custom_meter
11.07,2867,31.6,59,Mustard,11.07,custom_meter
1.96,2997,31.8,59,Mustard,1.96,custom_meter
10.56,2879,31.8,59,Mustard,10.56,custom_meter
12.07,2835,31.5,59,Mustard,12.07,custom_meter
1.14,3005,31.7,59,Mustard,1.14,custom_meter
10.91,2871,31.7,59,Mustard,10.91,custom_meter
3.7,2979,31.8,59,Mustard,3.7,custom_meter
10.24,2886,31.8,59,Mustard,10.24,custom_meter
9.07,2908,31.4,59,Mustard,9.07,custom_meter
11.33,2860,31.4,59,Mustard,11.33,custom_meter
5.37,2960,31.3,59,Mustard,5.37,custom_meter
11.07,2867,31.3,59,Mustard,11.07,custom_meter
12.1,2834,31.4,59,Mustard,12.1,custom_meter
11.4,2858,31.3,59,Mustard,11.4,custom_meter
11.14,2865,31.3,59,Mustard,11.14,custom_meter
5.79,2955,31.6,59,Mustard,5.79,custom_meter
7.59,2931,31.6,59,Mustard,7.59,custom_meter
7.52,2932,31.4,59,Mustard,7.52,custom_meter
12.02,2837,31.4,59,Mustard,12.02,custom_meter
9.35,2903,31.3,59,Mustard,9.35,custom_meter
5.54,2958,31.6,59,Mustard,5.54,custom_meter
10.38,2883,31.6,59,Mustard,10.38,custom_meter
4.43,2971,31.4,59,Mustard,4.43,custom_meter
7.09,2938,31.1,59,Mustard,7.09,custom_meter
5.21,2962,31.9,59,Mustard,5.21,custom_meter
7.17,2937,31.5,59,Mustard,7.17,custom_meter
12.16,2831,31.5,59,Mustard,12.16,custom_meter
8.0,2925,31.8,59,Mustard,8.0,custom_meter
3.89,2977,31.8,59,Mustard,3.89,custom_meter
6.42,2947,31.9,59,Mustard,6.42,custom_meter
8.26,2921,31.9,59,Mustard,8.26,custom_meter
3.89,2977,31.7,59,Mustard,3.89,custom_meter
3.33,2983,31.0,59,Mustard,3.33,custom_meter
11.33,2860,31.0,59,Mustard,11.33,custom_meter
10.52,2880,31.1,59,Mustard,10.52,custom_meter
4.78,2967,31.4,59,Mustard,4.78,custom_meter
10.7,2876,31.7,59,Mustard,10.7,custom_meter
6.18,2950,31.1,59,Mustard,6.18,custom_meter
10.82,2873,31.1,59,Mustard,10.82,custom_meter
11.14,2865,31.6,59,Mustard,11.14,custom_meter
5.7,2956,31.2,59,Mustard,5.7,custom_meter
12.67,2787,31.2,59,Mustard,12.67,custom_meter
8.83,2912,31.8,59,Mustard,8.83,custom_meter
7.73,2929,31.1,59,Mustard,7.73,custom_meter
11.84,2844,31.1,59,Mustard,11.84,custom_meter
3.14,2985,31.3,59,Mustard,3.14,custom_meter
10.61,2878,31.3,59,Mustard,10.61,custom_meter
6.8,2942,31.7,59,Mustard,6.8,custom_meter
8.89,2911,31.5,59,Mustard,8.89,custom_meter
11.22,2863,31.5,59,Mustard,11.22,custom_meter
10.56,2879,31.2,59,Mustard,10.56,custom_meter
7.93,2926,31.3,59,Mustard,7.93,custom_meter
9.89,2893,31.3,59,Mustard,9.89,custom_meter
5.37,2960,31.4,59,Mustard,5.37,custom_meter
10.74,2875,31.4,59,Mustard,10.74,custom_meter
5.95,2953,31.8,59,Mustard,5.95,custom_meter
10.61,2878,31.8,59,Mustard,10.61,custom_meter
4.07,2975,31.5,59,Mustard,4.07,custom_meter
11.07,2867,31.2,59,Mustard,11.07,custom_meter
1.45,3002,31.4,59,Mustard,1.45,custom_meter
10.61,2878,31.4,59,Mustard,10.61,custom_meter
4.07,2975,31.6,59,Mustard,4.07,custom_meter
10.82,2873,31.8,59,Mustard,10.82,custom_meter
4.43,2971,31.9,59,Mustard,4.43,custom_meter
4.52,2970,31.5,59,Mustard,4.52,custom_meter
4.87,2966,31.3,59,Mustard,4.87,custom_meter
8.64,2915,31.3,59,Mustard,8.64,custom_meter
6.72,2943,31.9,59,Mustard,6.72,custom_meter
12.65,2792,31.9,59,Mustard,12.65,custom_meter
2.36,2993,31.2,59,Mustard,2.36,custom_meter
11.5,2855,31.2,59,Mustard,11.5,custom_meter
5.7,2956,31.7,59,Mustard,5.7,custom_meter
6.26,2949,31.9,59,Mustard,6.26,custom_meter
9.73,2896,31.9,59,Mustard,9.73,custom_meter
6.72,2943,31.1,59,Mustard,6.72,custom_meter
11.14,2865,31.1,59,Mustard,11.14,custom_meter
11.53,2854,31.5,59,Mustard,11.53,custom_meter
9.73,2896,31.5,59,Mustard,9.73,custom_meter
11.18,2864,31.4,59,Mustard,11.18,custom_meter
3.89,2977,31.9,59,Mustard,3.89,custom_meter
9.79,2895,31.9,59,Mustard,9.79,custom_meter
6.26,2949,31.0,59,Mustard,6.26,custom_meter
6.72,2943,31.0,59,Mustard,6.72,custom_meter
10.95,2870,31.5,59,Mustard,10.95,custom_meter
11.53,2854,31.6,59,Mustard,11.53,custom_meter
3.33,2983,31.6,59,Mustard,3.33,custom_meter
3.05,2986,31.6,59,Mustard,3.05,custom_meter
7.45,2933,31.9,59,Mustard,7.45,custom_meter
9.18,2906,31.9,59,Mustard,9.18,custom_meter
11.33,2860,31.9,59,Mustard,11.33,custom_meter
6.57,2945,31.8,59,Mustard,6.57,custom_meter
5.79,2955,31.7,59,Mustard,5.79,custom_meter
10.56,2879,31.7,59,Mustard,10.56,custom_meter
9.46,2901,31.3,59,Mustard,9.46,custom_meter
