Moisture,ADC,Temperature,Humidity,crop,original_moisture,target_source
11.2,2928,30.2,53.0,Groundnut,10.9,merged
11.2,2928,30.8,53.0,Groundnut,10.9,merged
11.2,2928,30.6,53.0,Groundnut,11.2,custom_meter
5.84,2949,30.3,53.0,Groundnut,5.84,custom_meter
11.2,2928,30.2,53.0,Groundnut,10.9,merged
12.4,2923,30.8,53.0,Groundnut,10.9,merged
11.2,2928,30.1,53.0,Groundnut,10.9,merged
19.01,2893,30.8,53.0,Groundnut,19.01,custom_meter
11.68,2926,30.0,53.0,Groundnut,11.68,custom_meter
9.97,2933,30.8,53.0,Groundnut,9.97,custom_meter
11.92,2925,30.1,53.0,Groundnut,10.9,merged
10.96,2929,30.1,53.0,Groundnut,10.96,custom_meter
14.27,2915,30.1,53.0,Groundnut,14.27,custom_meter
11.2,2928,30.9,53.0,Groundnut,11.2,custom_meter
10.96,2929,30.4,53.0,Groundnut,10.96,custom_meter
11.2,2928,30.8,53.0,Groundnut,10.9,merged
9.72,2934,30.1,53.0,Groundnut,10.9,merged
11.44,2927,30.1,53.0,Groundnut,10.9,merged
11.2,2928,30.7,53.0,Groundnut,10.9,merged
11.2,2928,30.0,53.0,Groundnut,10.8,merged
11.68,2926,30.8,53.0,Groundnut,10.8,merged
3.67,2957,30.6,53.0,Groundnut,3.67,custom_meter
21.56,2880,30.0,53.0,Groundnut,21.56,custom_meter
11.68,2926,30.8,53.0,Groundnut,10.8,merged
11.44,2927,30.5,53.0,Groundnut,10.8,merged
13.81,2917,30.2,53.0,Groundnut,13.81,custom_meter
12.64,2922,30.0,53.0,Groundnut,12.64,custom_meter
11.2,2928,30.1,53.0,Groundnut,10.9,merged
17.56,2900,30.1,53.0,Groundnut,17.56,custom_meter
11.44,2927,30.1,53.0,Groundnut,10.9,merged
10.71,2930,30.1,53.0,Groundnut,10.9,merged
10.22,2932,30.0,53.0,Groundnut,10.22,custom_meter
11.2,2928,30.1,53.0,Groundnut,10.9,merged
